,processo,codigo,descricao,materia_prima,quantidade
192,Eixo,466815,CORPO VARAO ACION FREIO (5000) - CBH,"112434 - ACO TREF. RED. SAE-1020 - 3/4""",4.0
193,Eixo,468745,REFORCO PONTA DE EIXO  TANDEM  FA6,"120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",56.0
194,Eixo,480976,PONTA EIXO      (6000)  CBHM,110012 - ACO LAMINADO RED 2.1/2    1045,6.0
195,Fueiro,028766,DOBRADIÇA [FUEIRO - CBH M21],"120157 - CHAPA GQ   3/8 (9,53)     1010",32.0
196,Fueiro,030603,REFORÇO LATERAL INTERNO - FUEIRO - CBH(M17) ABERTURA LAT.,126901 - AÇO CHATO LAM 3/4 X 3 SAE-1020,12.0
197,Fueiro,031210,CORPO FUEIRO TRAS 90cm - CBHM 4500/5000,134062NAC - TUBO RETANGULAR 100 X 50 X 3.75 X 6300 mm,8.0
198,Fueiro,031213,CORPO FUEIRO DIANT 90cm - CBHM 4500/5000,134062NAC - TUBO RETANGULAR 100 X 50 X 3.75 X 6300 mm,36.0
199,Fueiro,031215,"CORPO FUEIRO TRAS 1,10 - CBHM 5000",134062NAC - TUBO RETANGULAR 100 X 50 X 3.75 X 6300 mm,32.0
200,Fueiro,031221,CORPO FUEIRO CENTRAL - CBHM 6000,134062NAC - TUBO RETANGULAR 100 X 50 X 3.75 X 6300 mm,18.0
201,Fueiro,031233,BUCHA ESPAÇ  FUEIRO TUBULAR CBHM,134375 - TUBO     1/2       DIN 2440,188.0
202,Fueiro,031239,DOBRADIÇA HORIZONTAL CBH/CBHM (M18),"120054 - CHAPA GQ   5/8 (15,8)     1010",12.0
203,Fueiro,031287,CORPO FUEIRO TRAS. (ABERT. LATERAL) - CBH M18,134062NAC - TUBO RETANGULAR 100 X 50 X 3.75 X 6300 mm,12.0
204,Fueiro,031410,REFORÇO INTERNO - FUEIRO - CBH(M18),126901 - AÇO CHATO LAM 3/4 X 3 SAE-1020,12.0
205,Fueiro,032365,CORPO [SUPORTE DA TAMPA - CBH UG M21],126214 - AÇO CHATO LAM 1/2  X 3.1/2  1020,4.0
206,Fueiro,425795,APOIO BUCHA GUIA    CBHM,"120157 - CHAPA GQ   3/8 (9,53)     1010",6.0
207,Fueiro,428360,ELO CORRENTE COMPLEM-CARR C2,226105 - CORRENTE ELO 3/16 F. POLIDO,9.0
208,Fueiro,428383,CORRENTE TENSOR 855 - CARROC,226105 - CORRENTE ELO 3/16 F. POLIDO,9.0
209,Fueiro,428395,CORRENTE/PORTA CORR 995-CARROC,226105 - CORRENTE ELO 3/16 F. POLIDO,9.0
210,Fueiro,457000,TENSOR CORRENTE - CORROC  CAR,"112501 - ACO TREF. RED. SAE-1020 - 5/16""",9.0
211,Fueiro,464831,CORRENTE 400MM - F TRAS CAF CBHM,226105 - CORRENTE ELO 3/16 F. POLIDO,30.0
212,Fueiro,494616,FECHAM SUP   FUEIRO   CBHM,"120203 - BOBINA CHAPA LQ 6.30 X 1,20 1008/1010",106.0
213,Fueiro,494653,DOBRADIÇA FUEIRO TRAS   CBHM,"120157 - CHAPA GQ   3/8 (9,53)     1010",80.0
214,Fueiro,494665,PINO FUEIRO       CBHM,"112434 - ACO TREF. RED. SAE-1020 - 3/4""",320.0
215,Intermed.,023358,TUBO DO TIRANTE DA TRAVA   CBHM 2 EIXOS,134375 - TUBO     1/2       DIN 2440,18.0
216,Intermed.,023504,CHAPA DE REGULAGEM VARÃO DE TRAVA   CBHM 2 EIXOS,"120203 - BOBINA CHAPA LQ 6.30 X 1,20 1008/1010",52.0
217,Intermed.,023516,ENGATE VARÃO DE TRAVA    CBHM 2 EIXOS,"112203 - ACO TREF. RED. SAE-1020 - 1/2""",48.0
218,Intermed.,023632,TUBO DO TIRANTE DA TRAVA   (M12) CBH,134375 - TUBO     1/2       DIN 2440,30.0
219,Intermed.,025073,EMBOLO S/FREIO - ICAM F4/F6 (NOV/12...),110322 - ACO LAMINADO RED 1.3/4    1020,4.0
220,Intermed.,025409,SUPORTE TIRANTE / MANCAL CIL  CHASSI,"120352 - CHAPA GQ   1/2 (12,7)     1010",2.0
221,Intermed.,025465,BUCHA DO MANCAL DO CILINDRO CBH8,134224 - TUBO MECANICO  71 X  43  ST-52,2.0
222,Intermed.,026416,CORPO DA TRAVA CBH/CBHM 4/6,"120352 - CHAPA GQ   1/2 (12,7)     1010",52.0
223,Intermed.,028827,ENGATE DO VARÃO DE TRAVA   CBH M16 2 EIXOS TANDEM,"112203 - ACO TREF. RED. SAE-1020 - 1/2""",4.0
224,Intermed.,028829,CORPO DO VARÃO  CBH M16 2 EIXOS TANDEM,134375 - TUBO     1/2       DIN 2440,4.0
225,Intermed.,029521,"CORPO DO ESPAÇADOR - CBH 6,0 RS/TANDEM ABERTURA LAT","134430 - TUBO SCHEDULLE 40 - 1.1/4""",6.0
226,Intermed.,030327,TUBO FIXO MACACO M17 CHASSI CBHM/CBH,134157 - TUBO MECANICO  50 X  32  ST-52,24.0
227,Intermed.,030381,FIXADOR MACACO M17 CHASSI CBHM/CBH,"120157 - CHAPA GQ   3/8 (9,53)     1010",24.0
228,Intermed.,030653,CORPO TUBO HIDRÁULICO - ACESS   CBHM M17,"134387 - TUBO SCHEDULLE 40 - 3/8"" S/C  5 METROS",60.0
229,Intermed.,030749,CORPO TUBO HIDRÁULICO 6T - ACESS   CBHM M17,"134388 - TUBO SCHEDULLE 40 - 3/8"" S/C  6.30 METROS",36.0
230,Intermed.,031564,CORPO TUBO HIDRÁULICO 6T (02 EIXOS),"134388 - TUBO SCHEDULLE 40 - 3/8"" S/C  6.30 METROS",4.0
231,Intermed.,032313,PINO LUVA DE ENGATE _ CBH / FTC,"112150 - ACO TREF. RED. SAE-1045 - 1""",4.0
232,Intermed.,032316,"ARRUELA LISA Ø1"" _ ENGATE _ CBH / FTC",134716 - TUBO MECANICO  56 X  28  ST-52,8.0
233,Intermed.,032352,SUPORTE FRONTAL [CHASSI COMPLETO - CBH],"120303 - CHAPA FQ 3/16 (1,20 x 6,00m) 1010",24.0
234,Intermed.,032353,COMPLEMENTO DO SUPORTE FRONTAL [CHASSI COMPLETO - CBH],"120305 - BOBINA CHAPA LQ 4.75 X 1,20 A36/CIVIL300",24.0
