Recurso,Peca,Qtde,Etapa,LEAD TIME,Código,Célula,flag peça,Etapa2,Etapa3,Etapa4,Etapa5,Etapa6
031259,Eixo (Tubo) Balancim LE TANDEM C/FREIO CBHM/CBH 4T,1,Montagem,30,031259,EIXO SIMPLES,1,,,,,
031260,Eixo (Tubo) Balancim LD Tandem c/Freio CBHM 6000/ CBH 6T,1,Montagem,30,031260,EIXO SIMPLES,1,,,,,
031261,Eixo (Tubo) Balancim LE TANDEM c/Freio CBHM 6000/CBH 6T,1,Montagem,30,031261,EIXO SIMPLES,1,,,,,
031264,"Fueiro Tras LD 1,10 - CBHM",1,Montagem,30,031264,FUEIRO,1,Pintura,,,,
031265,"Fueiro Tras LE 1,10 - CBHM",1,Montagem,30,031265,FUEIRO,1,Pintura,,,,
031266,Fueiro Tras LD - CBHM 8000/10000,1,Montagem,30,031266,FUEIRO,1,Pintura,,,,
031267,Fueiro Tras LE - CBHM 8000/10000,1,Montagem,30,031267,FUEIRO,1,Pintura,,,,
031289,Fueiro LD - CBH A.L (M19),1,Montagem,30,031289,FUEIRO,1,Pintura,,,,
031290,Fueiro LE - CBH A.L (M19),1,Montagem,30,031290,FUEIRO,1,Pintura,,,,
031291,SUPORTE TANDEM UVA,1,Montagem,30,031291,EIXO SIMPLES,1,Pintura,,,CINZA,
031374,"CBH7,0 - A.L - 01 Eixo",1,Montagem,30,031374,PLAT. TANQUE. CAÇAM.,1,Pintura,Solda,,COLORIDO,
031401,"Lat INF LE (FECHO RÁPIDO) - CBH5,0 7M³ A.L M19",1,Montagem,30,031401,LATERAL,1,Pintura,,,COLORIDO,
031422,Lat INF LD - CBH5 7M³ A.L M19,1,Montagem,30,031422,LATERAL,1,Pintura,,,COLORIDO,
031501,Plataforma 6000 CAFFEIRA (CBHM),1,Montagem,30,031501,PLAT. TANQUE. CAÇAM.,1,Pintura,Solda,,COLORIDO,
031503,Chassi 6000 CAFEEIRA SS,1,Montagem,30,031503,CHASSI,1,Pintura,Solda,,CINZA,
031511,Cabeçao S/F,1,Montagem,30,031511,IÇAMENTO,1,,,,,
031516,"CHASSI CBH6,0 7m³ SS",1,Montagem,30,031516,CHASSI,1,Pintura,Solda,,CINZA,
031517,"Chassi da CBH6,0T 7m³ M19",1,Montagem,30,031517,PLAT. TANQUE. CAÇAM.,1,,,,,
031518,"CBH6,0 - 7m³ A.L",1,Montagem,30,031518,PLAT. TANQUE. CAÇAM.,1,Pintura,Solda,,COLORIDO,
031540,Traseira 5000 Cafeeira C/ gancho,1,Montagem,30,031540,LATERAL,1,Pintura,,,COLORIDO,
031541,"Fueiro Tras Direito 1,10m - CBHM 5000 c/Corrente",1,Montagem,30,031541,FUEIRO,1,Pintura,,,,
031541,CORRENTE 13 ELOS,1,Montagem,30,464831,ESTAMPARIA,1,,,,,
031542,"Fueiro Tras Esquerdo 1,10m - CBHM 5000 c/Corrente",1,Montagem,30,031542,FUEIRO,1,Pintura,,,,
031542,CORRENTE 13 ELOS,1,Montagem,30,464831,ESTAMPARIA,1,,,,,
